,name,team,fantasy_points,past_points,daily_points
0,Mila Holloway,Michigan,48,48,0
1,Kiyomi McMiller,Penn State,47,47,0
2,Grace Sullivan,Northwestern,44,44,0
3,Berry Wallace,Illinois,43,43,0
4,Sayvia Sellers,Washington,41,41,0
5,Kennedy Blair,Michigan State,39,39,0
6,Ava Heiden,Iowa,39,39,0
7,Imani Lester,Rutgers,37,37,0
8,Tayla Thomas,Northwestern,37,37,0
9,Grace VanSlooten,Michigan State,36,36,0
10,Saylor Poffenbarger,Maryland,35,35,0
11,Shay Ciezki,Indiana,34,34,0
12,Theryn Hallock,Michigan State,34,34,0
13,Gabriela Jaquez,UCLA,34,34,0
14,Destiny Howell,Wisconsin,33,33,0
15,Makena Christian,Minnesota,33,33,0
16,Hannah Stuelke,Iowa,33,33,0
17,Olivia Olson,Michigan,32,32,0
18,Zachara Perkins,Rutgers,32,32,0
19,Gracie Merkle,Penn State,31,31,0
20,Xamiya Walton,Northwestern,31,31,0
21,Claire Johnson,Nebraska,31,31,0
22,Kaylah Ivey,Rutgers,30,30,0
23,Gretchen Dolan,Illinois,30,30,0
24,Brooke Q. Daniels,Michigan,30,30,0
25,Mia Jacobs,Oregon,30,30,0
26,Te'Yala Delfosse,Michigan,29,29,0
27,Britt Prince,Nebraska,28,28,0
28,Zania Socka-Nguemen,Indiana,28,28,0
29,Madison Layden-Zay,Purdue,28,28,0
30,Oluchi Okananwa,Maryland,27,27,0
31,Jazzy Davidson,USC,27,27,0
32,Charlisse Leger-Walker,UCLA,27,27,0
33,Kara Dunn,USC,27,27,0
34,Kiki Smith,Purdue,27,27,0
35,Rashunda Jones,Michigan State,27,27,0
36,Elisa Mevius,Oregon,27,27,0
37,Emily Fisher,Nebraska,26,26,0
38,Gianna Kneepkens,UCLA,26,26,0
39,Londynn Jones,USC,26,26,0
40,Kyrah Daniels,Wisconsin,26,26,0
41,Katie Fiso,Oregon,26,26,0
42,Jalyn Brown,Michigan State,26,26,0
43,Avery Howell,Washington,26,26,0
44,Lauren Betts,UCLA,26,26,0
45,Emma Shumate,Michigan State,26,26,0
46,Dorja Iva Zaja,Wisconsin,26,26,0
47,Amy Terrian,Michigan State,25,25,0
48,Sophie Hart,Minnesota,25,25,0
49,Tara Daye,Purdue,25,25,0
50,Emely Rodriguez,Iowa,24,24,0
51,Kennedy Smith,USC,24,24,0
52,Callin Hake,Nebraska,24,24,0
53,Lana McCarthy,Purdue,24,24,0
54,Jessica Petrie,Nebraska,23,23,0
55,Hila Karsh,Purdue,23,23,0
56,Ari Long,Oregon,23,23,0
57,Viktoria Ranisavljevic,Penn State,23,23,0
58,Casey Harter,Northwestern,22,22,0
59,Isaline Alexander,Michigan State,22,22,0
60,Ashley Sofilkanich,Michigan,22,22,0
61,Finau Tonga,Minnesota,22,22,0
62,Angela Dugalić,UCLA,22,22,0
63,Kiki Rice,UCLA,22,22,0
64,Hannah Stines,Washington,22,22,0
65,Lenée Beaumont,Indiana,22,22,0
66,Tori McKinney,Minnesota,21,21,0
67,Chazadi Wright,Iowa,21,21,0
68,Maddie Webber,Illinois,21,21,0
69,Sienna Harvey,Washington,21,21,0
70,Nevaeh Caffey,Indiana,20,20,0
71,Sarah Rambus,Oregon,20,20,0
72,Lauryn Swann,Rutgers,20,20,0
73,Ehis Etute,Oregon,20,20,0
74,Dayana Mendes,USC,20,20,0
75,Amina Muhammad,Oregon,20,20,0
76,Kyndal Walker,Maryland,20,20,0
77,Nene Ndiaye,Rutgers,20,20,0
78,Destiny Jackson,Illinois,20,20,0
79,Amaya Battle,Minnesota,19,19,0
80,Taylor Stremlow,Iowa,19,19,0
81,Sofia Bell,Oregon,19,19,0
82,Vitoria Santana,Penn State,19,19,0
83,Laci Steele,Wisconsin,19,19,0
84,Amiya Evans,Penn State,18,18,0
85,Shay Bollin,Wisconsin,18,18,0
86,Syla Swords,Michigan,18,18,0
87,Mara Braun,Minnesota,17,17,0
88,Yarden Garzon,Maryland,17,17,0
89,Janae Walker,Rutgers,17,17,0
90,Lea Bartelme,Maryland,17,17,0
91,Olivia Anderson,Washington,17,17,0
92,Gift Uchenna,Wisconsin,17,17,0
93,Malia Samuels,USC,16,16,0
94,Marya Boiko,Maryland,16,16,0
95,Taylor McCabe,Iowa,16,16,0
96,Yulia Grabovskaia,Washington,15,15,0
97,Logan Nissley,Nebraska,15,15,0
98,Hailey Weaver,Nebraska,15,15,0
99,Grace Grocholski,Minnesota,15,15,0
100,Saige Stahl,Purdue,15,15,0
101,Petra Bozan,Nebraska,15,15,0
102,Gerda Raulusaityte,USC,15,15,0
103,Edessa Noyan,Indiana,15,15,0
104,Shayla Smith,Penn State,14,14,0
105,Abbey Kimball,Michigan State,14,14,0
106,Jasmine Brown-Hagger,Illinois,14,14,0
107,Cearah Parchment,Illinois,13,13,0
108,Kylie Feuerbach,Iowa,13,13,0
109,Lety Vasconcelos,Illinois,13,13,0
110,Brylee Glenn,Minnesota,13,13,0
111,Tate Lash,Northwestern,13,13,0
112,Kennedy Klick,Minnesota,13,13,0
113,Janiyah Williams,Oregon,13,13,0
114,Breanna Williams,Maryland,13,13,0
115,Isimenme Ozzy-Momodu,Maryland,12,12,0
116,Amiah Hargrove,Nebraska,12,12,0
117,Marah Dykstra,Michigan State,12,12,0
118,Mir McLean,Maryland,12,12,0
119,Vivian Iwuchukwu,USC,11,11,0
120,Valentyna Kadlecova,Indiana,11,11,0
121,Teagan Brown,Washington,11,11,0
122,Astera Tuhina,Oregon,11,11,0
123,Amanda Muse,UCLA,11,11,0
124,Journey Houston,Iowa,11,11,0
125,Chloe Briggs,Washington,11,11,0
126,Sara Barhoum,Oregon,11,11,0
127,Brynn McGaughy,Washington,11,11,0
128,Ava McKennie,Maryland,11,11,0
129,Lily Krahn,Wisconsin,11,11,0
130,Ronnie Porter,Wisconsin,11,11,0
131,Caroline Lau,Northwestern,10,10,0
132,Niamya Holloway,Minnesota,10,10,0
133,Phoenix Stotjin,Indiana,10,10,0
134,Laura Williams,USC,9,9,0
135,Shayla Gillmer,Washington,9,9,0
136,Addison Deal,Iowa,8,8,0
137,Irene Noya Catoira,Illinois,8,8,0
138,Makylah Moore,Rutgers,8,8,0
139,Yakiya Milton,USC,8,8,0
140,Alyssa Crockett,Michigan,8,8,0
141,Nina Cain,Washington,8,8,0
142,Addi Mack,Maryland,8,8,0
143,Ally VanTimmeren,Michigan,8,8,0
144,McKenzie Mathurin,Michigan,8,8,0
145,Lena Bilic,UCLA,8,8,0
146,Jessica Fields,Michigan,8,8,0
147,Filippa Tilliander,Oregon,7,7,0
148,Rachael Okokoh,Penn State,7,7,0
149,Antonia Bates,Rutgers,6,6,0
150,Devin Coppinger,Washington,6,6,0
151,Nikki Kerstein,Wisconsin,6,6,0
152,Taylor Woodson,Minnesota,6,6,0
153,Moriah Murray,Penn State,6,6,0
154,Nyla McFadden,Penn State,6,6,0
155,Kennadi Williams,Nebraska,6,6,0
156,Anna Terrian,Michigan State,6,6,0
157,Ciara Byars,Michigan,6,6,0
158,Avary Cain,Oregon,6,6,0
159,Kendall Puryear,Purdue,5,5,0
160,Jovana Spasovski,Wisconsin,5,5,0
161,Layla Hays,Iowa,5,5,0
162,Rian Forestier,USC,5,5,0
163,Hayven Smith,Illinois,5,5,0
164,Jerni Kiaku,Indiana,5,5,0
165,Shaelyn Steele,Penn State,5,5,0
166,Nya Smith,Purdue,4,4,0
167,Yacine N'Diaye,Rutgers,4,4,0
168,Maya Makalusky,Indiana,4,4,0
169,Deja Young,Rutgers,4,4,0
170,Faith Wiseman,Indiana,4,4,0
171,Avery Gordon,Purdue,3,3,0
172,Angelina Hodgens,Northwestern,3,3,0
173,Tracey Bershers,Minnesota,3,3,0
174,Brooklyn Shamblin,USC,3,3,0
175,Precious Wheeler,Rutgers,3,3,0
176,Claire Keswick,Northwestern,3,3,0
177,Kennedy Brandt,Rutgers,3,3,0
178,Breauna Ware,Wisconsin,3,3,0
179,Chloe Spreen,Indiana,3,3,0
180,Macy Brown,Michigan,2,2,0
181,Rainey Welson,Maryland,2,2,0
182,Gisela Segura,Illinois,1,1,0
183,Alba Martín Mesa,Wisconsin,1,1,0
184,Taylor Feldman,Purdue,1,1,0
185,Christina Karamouzi Siegel,UCLA,1,1,0
186,DaiJa Turner,Northwestern,0,0,0
187,Alanna Neale,Nebraska,0,0,0
188,Megan Grant,UCLA,0,0,0
189,Brynn Senden,Minnesota,0,0,0
190,Nicole Fritea,Maryland,0,0,0
